refID,doi,pubmed_id,title,authors,year,month,day,journal,FullText,SiC_Type,Category
"Leber, M 2019",10.1007/978-981-13-2050-7_1,,Advances in Penetrating Multichannel Microelectrodes Based on the Utah Array Platform,"Leber, M and Körner, J and Reiche, CF and Yin, M and Bhandari, R and Franklin, R and Negi, S and Solzbacher, F",2019,11,16,NEURAL INTERFACE: FRONTIERS AND APPLICATIONS [Book 10.1007/978-981-13-2050-7],Y,a-SiC,NeuralInterfaces
"Li, C 2024",10.1039/d4tc00612g,,Recent advances in plasma etching for micro and nano fabrication of silicon-based materials: a review,"Li, CJ and Yang, YX and Qu, R and Cao, X and Liu, GD and Jin, X and Liu, YX and Liu, SG and Jiang, W and Zhang, XC",2024,11,21,JOURNAL OF MATERIALS CHEMISTRY C,Y,other,OtherTechnologies
"Lucia, O 2019",10.1109/MIE.2019.2942377,,Industrial Electronics for Biomedicine: A New Cancer Treatment Using Electroporation,"Lucia, O. and Sarnago, H. and Garcia-Sanchez, T. and Mir, L. M. and Burdio, J. M.",2019,12,23,IEEE Industrial Electronics Magazine,Y,other,OtherTechnologies
"Maher, N 2025",10.1016/j.jare.2024.07.016,,An updated review and recent advancements in carbon-based bioactive coatings for dental implant applications,"Maher, N and Mahmood, A and Fareed, MA and Kumar, N and Rokaya, D and Zafar, MS",2025,6,,JOURNAL OF ADVANCED RESEARCH,Y,"a-SiC,crystalline_unspecified,other",Ortho_Dental
"Mamun, A 2023",10.3390/mi14081557,37630093,Silicon Carbide-Based DNA Sensing Technologies,"Mamun, AA and McGarrity, M and Kim, JH and Zhao, F",2023,8,4,Micromachines,Y,3C-SiC,Biosensors
"Mantripragada, V 2013",10.1002/jbm.a.34605,23766134,An overview of recent advances in designing orthopedic and craniofacial implants,"Mantripragada, VP and Lecka-Czernik, B and Ebraheim, NA and Jayasuriya, AC",2013,11,,Journal of biomedical materials research. Part A,Y,other,Ortho_Dental
"Nguyen, N 2021",10.1021/acsaelm.0c01122,,Wide-Band-Gap Semiconductors for Biointegrated Electronics: Recent Advances and Future Directions,"Nguyen, NK and Nguyen, T and Nguyen, TK and Yadav, S and Dinh, T and Masud, MK and Singha, P and Do, TN and Barton, MJ and Ta, HT and Kashaninejad, N and Ooi, CH and Nguyen, NT and Phan, HP",2021,5,25,ACS APPLIED ELECTRONIC MATERIALS,Y,"a-SiC,3C-SiC,4H-SiC,other",OtherTechnologies
"Ohno, T 1999",10.1002/(SICI)1520-6432(199902)82:2<48::AID-ECJB6>3.0.CO;2-1,,Recent progress in SiC-based device processing,"Ohno, T",1999,3,9,ELECTRONICS AND COMMUNICATIONS IN JAPAN PART II-ELECTRONICS,Y,other,OtherTechnologies
"Oliveros, A 2013",10.1007/s10544-013-9742-3,23319268,Silicon carbide: a versatile material for biosensor applications,"Oliveros, A and Guiseppi-Elie, A and Saddow, SE",2013,1,15,Biomedical microdevices,Y,"a-SiC,3C-SiC,4H-SiC,6H-SiC,crystalline_unspecified,other","NeuralInterfaces,Biosensors,OtherTechnologies"
"Ordonez, J 2012",10.1557/mrs.2012.117,,Thin films and microelectrode arrays for neuroprosthetics,"Ordonez, J and Schuettler, M and Boehler, C and Boretius, T and Stieglitz, T",2012,6,8,MRS BULLETIN,Y,a-SiC,"NeuralInterfaces,OtherTechnologies"
"Paione, C 2023",10.3390/ceramics6020059,,Non-Oxide Ceramics for Bone Implant Application: State-of-the-Art Overview with an Emphasis on the Acetabular Cup of Hip Joint Prosthesis,"Paione, CM and Baino, F",2023,4,19,CERAMICS-SWITZERLAND,Y,other,Ortho_Dental
"Pancrazio, J 2017",10.1111/ner.12716,29076214,Thinking Small: Progress on Microscale Neurostimulation Technology,"Pancrazio, JJ and Deku, F and Ghazavi, A and Stiller, AM and Rihani, R and Frewin, CL and Varner, VD and Gardner, TJ and Cogan, SF",2017,12,22,Neuromodulation : journal of the International Neuromodulation Society,Y,a-SiC,NeuralInterfaces
"Saddow, S 2012",9780123859075 (eBook),,"Silicon Carbide Biotechnology: A Biocompatible Semiconductor for Advanced Biomedical Devices and Applications, 1st Edition","Saddow, SE",2012,,,"SILICON CARBIDE BIOTECHNOLOGY: A BIOCOMPATIBLE SEMICONDUCTOR FOR ADVANCED BIOMEDICAL DEVICES AND APPLICATIONS, 1ST EDITION",Y,"a-SiC,3C-SiC,4H-SiC,6H-SiC,crystalline_unspecified,other","NeuralInterfaces,Biosensors,Cardiovascular,OtherTechnologies"
"Saddow, S 2022",10.3390/mi13030346,35334637,Silicon Carbide Technology for Advanced Human Healthcare Applications,"Saddow, SE",2022,2,22,Micromachines,Y,"a-SiC,3C-SiC,4H-SiC,6H-SiC","NeuralInterfaces,OtherTechnologies"
"Shen, K 2021",10.1088/1741-2552/abd683,33624611,Ceramic packaging in neural implants,"Shen, KN and Maharbiz, MM",2021,2,25,JOURNAL OF NEURAL ENGINEERING,Y,other,"NeuralInterfaces,Cardiovascular,OtherTechnologies"
"Talwar, J 2023",10.5530/jscires.12.2.033,,Global Trends in Silicon Carbide Biosensor Research: A Bibliometric Study,"Talwar, J and Bhardwaj, A and Soni, ND",2023,9,4,JOURNAL OF SCIENTOMETRIC RESEARCH,Y,other,"Biosensors,Cardiovascular,Ortho_Dental,OtherTechnologies"
"Wellman, S 2018",10.1002/adfm.201701269,29805350,A Materials Roadmap to Functional Neural Interface Design,"Wellman, Steven M and Eles, James R and Ludwig, Kip A and Seymour, John P and Michelson, Nicholas J and McFadden, William E and Vazquez, Alberto L and Kozai, Takashi DY",2018,,,Advanced Functional Materials,Y,"a-SiC,crystalline_unspecified",NeuralInterfaces
"Yakimova, R 2007",10.1088/0022-3727/40/20/s20,,Surface functionalization and biomedical applications based on SiC,"Yakimova, R and Petoral, RM and Yazdi, GR and Vahlberg, C and Spetz, AL and Uvdal, K",2007,10,5,JOURNAL OF PHYSICS D-APPLIED PHYSICS,Y,"a-SiC,3C-SiC,4H-SiC,6H-SiC,crystalline_unspecified,other",OtherTechnologies
