,,,,,,,,,,,,,,Silicon Carbide Type,,,,,,Application or Use Category,,,,,,Data Type Reported,,,,,,
rayyan-66582768,"Hansi, C 2009","Differences of platelet adhesion and thrombus activation on amorphous silicon carbide, magnesium alloy, stainless steel, and cobalt chromium stent surfaces","Hansi, C and Arab, A and Rzany, A and Ahrens, I and Bode, C and Hehrlein, C",2009,2,2,10.1002/ccd.21834,Catheterization and cardiovascular interventions : official journal of the           Society for Cardiac Angiography & Interventions,"BACKGROUND: Coronary stenting is considered to be the gold standard of percutaneous coronary interventions, because stents are able to reduce early and late elastic recoil (negative remodeling) and restenosis in comparison with balloon angioplasty alone. OBJECTIVE: It is known that stent thrombogenicity and neointimal formation are determined by the surface characteristics of the stent platform, electrochemical features of the stent surface, and the degree of degradation after implantation. Metallic stents coated with amorphous silicon carbide and biodegradable stents made of magnesium alloy have been introduced clinically, but there are no data available comparing the biocompatibility of these novel stent materials with conventional stents. METHODS: We demonstrate simple and reproducible in vitro methods assessing the rate of platelet adhesion and thrombus activation for biocompatibility tests of different stent surfaces. RESULTS: We show that amorphous silicon carbide and magnesium alloy stent surfaces markedly lower the rate of platelet adhesion and platelet/fibrin activation when compared with uncoated stainless steel or cobalt chromium alloy surfaces. Semiconductor materials on the stent surface reduce platelet and fibrin activation by increasing the critical electron gap to greater than 0.9 eV resulting in a lower electron transfer out of the stent material. CONCLUSION: Passive stent coatings with specific semiconducting properties such as amorphous silicon carbide or magnesium alloy reduce thrombogenicity and may improve biocompatibility of a stent platform.","platelet function, restenosis, thrombosis, materials, magnesium, silicon carbide, stainless steel, hemocompatibility",19235237,x,x,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
rayyan-66583442,"Itoh, A 1997",Single crystal growth of SiC and electronic devices,"Itoh, A and Matsunami, H",1997,,,10.1080/10408439708241260,Critical Reviews in Solid State and Materials Sciences,"Single crystal growth of silicon carbide (SiC) and application to electronic devices are reviewed. In the crystal growth, bulk and homoepitaxial growth are picked up, and crystal quality and electrical properties are described. For electronic devices, various device processes are argued. Power devices based on SiC are stressed in this review.        Bulk single crystals of SiC can be grown by a sublimation method, and large-area 6H-SiC and 4H-SiC single crystals are obtained. The occurrence of SiC polytypes is affected by the growth condition, and can be controlled successfully by optimizing these conditions. 6H-SiC is grown on 6H-SiC (0001) Si-faces, and 4H-SiC on 6H-SiC (000 (1) over bar) C-faces. The crystallinity of bulk crystals is investigated by reflection high-energy electron diffraction (RHEED) and X-ray analysis, and characterization is carried out in detail by optical and electrical measurement.        Successful homoepitaxial vapor phase growth of SiC can be realized using off-axis {0001} substrates prepared by a sublimation method called ''step-controlled epitaxy''. Since the crystallinity of epilayers is improved during the step-controlled epitaxy, this growth technique is a key for getting high-quality crystal surfaces. Impurity doping is controlled during homoepitaxial growth by employing impurity gases, such as Nz, trimethylaluminum (TMA), and B2H6. A wide-range of carrier concentrations of 5 x 10(13)similar to 3 x 10(18) cm(-3) for n-type and 5 x 10(16)similar to 3 x 10(20) cm(-3) for p-type are realized. The impurity-incorporation mechanism in the step-controlled epitaxy is discussed based on the C/Si ratio dependence of impurity doping.        Electrical properties of SiC grown by step-controlled epitaxy are determined precisely. A high electron mobility of 720 cm(2)/Vs is obtained in an undoped 4H-SiC epilayer with an electron concentration of 2.5x10(16) cm(-3) at 300 K. This electron mobility is about two times higher than that of 6H-SiC (similar to 380 cm(2)/Vs). High breakdown fields of 1 similar to 5x10(6) V/cm are obtained for both 6H- and 4H-SiC, one order of magnitude higher than those for Si. A high saturation electron drift velocity of 1.6x10(7) cm/s is obtained in 4H-SiC, which may make possible high performance of high-frequency 4H-SiC power devices. Impurity levels and deep levels are investigated by Hall effect, admittance spectroscopy, and DLTS measurement. Metal/4H-SiC Schottky barrier heights are characterized and a strong dependence on metal work function without strong ''pinning'' is elucidated.        Device processes are described for ion implantation. Interface properties of SiO2/SiC are characterized in detail using metal-oxide-semiconductor (MOS) structure devices. Power electronic applications of SiC for high-voltage junction devices, MOS field effect transistors (FETs), and high-frequency devices are introduced. An optimum design for high-voltage 4H-SiC Schottky rectifiers is described, and high performance obtained experimentally is demonstrated.",,,x,x,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
rayyan-66583140,"Kilic, A 2021",Machine Learning Analysis of Ni/SiC Electrodeposition Using Association Rule Mining and Artificial Neural Network,"Kilic, A and Yildirim, R and Eroglu, D",2021,6,24,10.1149/1945-7111/ac0aaa,Journal of The Electrochemical Society,"Due to their advanced tribological and mechanical properties, nickel/silicon carbide (Ni/SiC) composites have gained significant attention in recent years. Electrodeposition is a cost-effective method to produce the Ni/SiC composites with high uniformity. However, materials and process parameters of Ni/SiC electrodeposition have immense impact on the amount and the uniformity of the co-deposited SiC particles. In this study, machine learning algorithms are used to investigate the effect of electrodeposition parameters and materials on the Ni/SiC composite. Association rule mining (ARM) is used to determine the important factors leading to high SiC incorporation and artificial neural network (ANN) is used to build a model that can predict the amount of SiC particles in the deposit. ARM results clearly present that the use of cationic dispersants, especially AZTAB and TMAH, at concentrations higher than 1 g l(-1) is highly beneficial for high SiC incorporation into the deposit. Moreover, the ANN model shows that the estimation of SiC vol.% in the composite is possible with high prediction accuracy; the RMSE values of the training and the testing set are calculated as 5.49 and 6.61, respectively. This thorough analysis confirms that machine learning is a highly effective method, especially for such well-defined systems with many parameters.",,,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
rayyan-66582804,"Kotzar, G 2002",Evaluation of MEMS materials of construction for implantable medical devices,"Kotzar, G and Freas, M and Abel, P and Fleischman, A and Roy, S and Zorman, C and Moran, JM and Melzak, J",2002,7,23,10.1016/s0142-9612(02)00007-8,Biomaterials,"Medical devices based on microelectro-mechanical systems (MEMS) platforms are currently being proposed for a wide variety of implantable applications. However, biocompatibility data for typical MEMS materials of construction and processing, obtained from standard tests currently recognized by regulatory agencies, has not been published. Likewise, the effects of common sterilization techniques on MEMS material properties have not been reported. Medical device regulatory requirements dictate that materials that are biocompatibility tested be processed and sterilized in a manner equivalent to the final production device. Material, processing, and sterilization method can impact the final result. Six candidate materials for implantable MEMS devices, and one encapsulating material, were fabricated using typical MEMS processing techniques and sterilized. All seven materials were evaluated using a baseline battery of ISO 10993 physicochemical and biocompatibility tests. In addition, samples of these materials were evaluated using a scanning electron microscope (SEM) pre- and post-sterilization. While not addressing all facets of ISO 10993 testing, the biocompatibility and SEM data indicate few concerns about use of these materials in implant applications.","*Biocompatible Materials/standards;*Bone Substitutes/standards;Carbon Compounds, Inorganic;Materials Testing/*methods;Microscopy, Electron, Scanning;Silicon;Silicon Compounds;Silicon Dioxide;Time Factors;Titanium;Water",12059024,x,x,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
rayyan-66583227,"Leber, M 2019",Advances in Penetrating Multichannel Microelectrodes Based on the Utah Array Platform,"Leber, M and Körner, J and Reiche, CF and Yin, M and Bhandari, R and Franklin, R and Negi, S and Solzbacher, F",2019,11,16,10.1007/978-981-13-2050-7_1,NEURAL INTERFACE: FRONTIERS AND APPLICATIONS [Book 10.1007/978-981-13-2050-7],"The Utah electrode array (UEA) and its many derivatives have become a gold standard for high-channel count bi-directional neural interfaces, in particular in human subject applications. The chapter provides a brief overview of leading electrode concepts and the context in which the UEA has to be understood. It goes on to discuss the key advances and developments of the UEA platform in the past 15 years, as well as novel wireless and system integration technologies that will merge into future generations of fully integrated devices. Aspects covered include novel device architectures that allow scaling of channel count and density of electrode contacts, material improvements to substrate, electrode contacts, and encapsulation. Further subjects are adaptations of the UEA platform to support IR and optogenetic simulation as well as an improved understanding of failure modes and methods to test and accelerate degradation in vitro such as to better predict device failure and lifetime in vivo.",,,x,x,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rayyan-150234041,"Li, C 2024",Recent advances in plasma etching for micro and nano fabrication of silicon-based materials: a review,"Li, CJ and Yang, YX and Qu, R and Cao, X and Liu, GD and Jin, X and Liu, YX and Liu, SG and Jiang, W and Zhang, XC",2024,11,21,10.1039/d4tc00612g,JOURNAL OF MATERIALS CHEMISTRY C,"The demands for precision machining of silicon-based materials are growing in various modern applications, including micro-electro-mechanical systems (MEMS), micromotors, sensors, bioelectronics, medical implants, and microfluidic devices. Towards the miniaturization and high-precision trends, it is essential to explore recent advancements in plasma etching of silicon-based materials. This review aims to provide a comprehensive review of the latest advancements in plasma etching for micro and nanofabrication of silicon-based materials, including silicon, silicon dioxide, silicon carbide, silicon nitride, and silicon germanium. The review begins by addressing etching mechanisms, simulation methods, and recent novel approaches and enhancements in plasma etching. Subsequently, separate sections are dedicated to discussing commonly utilized chemistries, process routes, and processing parameters specific to each type of silicon-based material during plasma etching. Subsequently, functional structures such as micropillar arrays, high-aspect-ratio holes and nanowires formed through plasma etching alongside their applications across various fields are summarized. In the end, current research trends and future prospects in plasma etching for micro and nanofabrication of silicon-based materials are discussed. This review article seeks to address both the academic and industrial audience thereby leading to further innovations for plasma etching of silicon-based materials.     FU  - Natural Science Foundation of Beijing Municipality [MEDH202211]; Key Laboratory of Medical Electronics and Digital Health of Zhejiang Province [52205439, 52375402]; National Natural Science Foundation of China [L223016]; Beijing Natural Science Foundation [KDJJ20230502014]; China Space Foundation Aerospace Propulsion Public Welfare Special Fund     FX  - This work was supported by the Key Laboratory of Medical Electronics and Digital Health of Zhejiang Province [grant number MEDH202211], the National Natural Science Foundation of China [grant number 52205439 and 52375402], the Beijing Natural Science Foundation [grant number L223016], and the China Space Foundation Aerospace Propulsion Public Welfare Special Fund [grant number KDJJ20230502014].     PU  - ROYAL SOC CHEMISTRY     PI  - CAMBRIDGE     PA  - THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",,,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
rayyan-66582570,"Lucia, O 2019",Industrial Electronics for Biomedicine: A New Cancer Treatment Using Electroporation,"Lucia, O. and Sarnago, H. and Garcia-Sanchez, T. and Mir, L. M. and Burdio, J. M.",2019,12,23,10.1109/MIE.2019.2942377,IEEE Industrial Electronics Magazine,"This article reviewed the application of IEs to biomedicine, with an emphasis on the practice's potential benefits and necessary collaboration between specialist engineers and medical practitioners. The design of high-voltage generators for electroporation is a challenging task due to the stiff requirements for the voltage amplitude, controllability, isolation, and output impedance. electroporation has been acknowledged as a key tool for cancer treatment that has a growing importance despite the significant challenges that must still be faced, The future of this technology will require the development of versatile generators that overcome all of the current limitations and provide useful tools for research and clinical treatments. To achieve the goal, several IE technologies will play a fundamental role. Research on advanced topologies will be essential, as will be the use of faster and higher-voltage devices, such as those based on silicon carbide and gallium nitride. Advanced control architectures and will be required to accurately control the generator, monitor and optimize the treatment, and guarantee the safety of patients and medical teams. There is a brilliant future for the IEs that are applied to ER.",Cancer;Surgery;Medical treatment;Electric fields;Immune system;Biomedical equipment;Electroporation,,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rayyan-66582597,"Mamun, A 2023",Silicon Carbide-Based DNA Sensing Technologies,"Mamun, AA and McGarrity, M and Kim, JH and Zhao, F",2023,8,4,10.3390/mi14081557,Micromachines,"DNA sensing is critical in various applications such as the early diagnosis of diseases and the investigation of forensic evidence, food processing, agriculture, environmental protection, etc. As a wide-bandgap semiconductor with excellent chemical, physical, electrical, and biocompatible properties, silicon carbide (SiC) is a promising material for DNA sensors. In recent years, a variety of SiC-based DNA-sensing technologies have been reported, such as nanoparticles and quantum dots, nanowires, nanopillars, and nanowire-based field-effect-transistors, etc. This article aims to provide a review of SiC-based DNA sensing technologies, their functions, and testing results.",DNA; SiC; chemiresistor; label-free; sensitivity; sensor.,37630093,x,x,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
rayyan-66582730,"Mantripragada, V 2013",An overview of recent advances in designing orthopedic and craniofacial implants,"Mantripragada, VP and Lecka-Czernik, B and Ebraheim, NA and Jayasuriya, AC",2013,11,,10.1002/jbm.a.34605,Journal of biomedical materials research. Part A,"Great deal of research is still going on in the field of orthopedic and craniofacial implant development to resolve various issues being faced by the industry today. Despite several disadvantages of the metallic implants, they continue to be used, primarily because of their superior mechanical properties. In order to minimize the harmful effects of the metallic implants and its by-products, several modifications are being made to these materials, for instance nickel-free stainless steel, cobalt-chromium and titanium alloys are being introduced to eliminate the toxic effects of nickel being released from the alloys, introduce metallic implants with lower modulus, reduce the cost of these alloys by replacing rare elements with less expensive elements etc. New alloys like tantalum, niobium, zirconium, and magnesium are receiving attention given their satisfying mechanical and biological properties. Non-oxide ceramics like silicon nitride and silicon carbide are being currently developed as a promising implant material possessing a combination of properties such as good wear and corrosion resistance, increased ductility, good fracture and creep resistance, and relatively high hardness in comparison to alumina. Polymer/magnesium composites are being developed to improve mechanical properties as well as retain polymer's property of degradation. Recent advances in orthobiologics are proving interesting as well. This paper thus deals with the latest improvements being made to the existing implant materials and includes new materials being introduced in the field of biomaterials.",Biocompatible Materials/pharmacology;Face;Humans;*Orthopedics;*Prostheses and Implants;Prosthesis Design/*trends;Skull/*physiology,23766134,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rayyan-66583335,"Nguyen, N 2021",Wide-Band-Gap Semiconductors for Biointegrated Electronics: Recent Advances and Future Directions,"Nguyen, NK and Nguyen, T and Nguyen, TK and Yadav, S and Dinh, T and Masud, MK and Singha, P and Do, TN and Barton, MJ and Ta, HT and Kashaninejad, N and Ooi, CH and Nguyen, NT and Phan, HP",2021,5,25,10.1021/acsaelm.0c01122,ACS APPLIED ELECTRONIC MATERIALS,"Wearable and implantable bioelectronics have experienced remarkable progress over the last decades. Bioelectronic devices provide seamless integration between electronics and biological tissue, offering unique functions for healthcare applications such as real-time and online monitoring and stimulation. Organic semiconductors and silicon-based flexible electronics have been dominantly used as materials for wearable and implantable devices. However, inherent drawbacks such as low electronic mobility, particularly in organic materials, instability, and narrow band gaps mainly limit their full potential for optogenetics and implantable applications. In this context, wide-band-gap (WBG) materials with excellent electrical and mechanical properties have emerged as promising candidates for flexible electronics. With a significant piezoelectric effect, direct band gap and optical transparency, and chemical inertness, these materials are expected to have practical applications in many sectors such as energy harvesting, optoelectronics, or electronic devices, where lasting and stable operation is highly desired. Recent advances in micro/nanomachining processes and synthesis methods for WBG materials led to their possible use in soft electronics. Considering the importance of WBG materials in this fast-growing field, the present paper provides a comprehensive Review on the most common WBG materials, including zinc oxide (ZnO) for II-VI compounds, gallium nitride (GaN) for III-V compounds, and silicon carbide (SiC) for IV-IV compounds. We first discuss the fundamental physical and chemical characteristics of these materials and their advantages for biosensing applications. We then summarize the fabrication techniques of wide-band-gap semiconductors, including how these materials can be transferred from rigid to stretchable and flexible substrates. Next, we provide a snapshot of the recent development of flexible WBG materials-based wearable and implantable devices. Finally, we conclude with perspectives on future research direction.","Wide-Band-Gap Semiconductors, Silicon Carbide, Zinc Oxide, Gallium Nitride, Wearable Devices, Implantable Devices, Biointegrated Electronics",,x,x,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
rayyan-66583184,"Ohno, T 1999",Recent progress in SiC-based device processing,"Ohno, T",1999,3,9,10.1002/(SICI)1520-6432(199902)82:2<48::AID-ECJB6>3.0.CO;2-1,ELECTRONICS AND COMMUNICATIONS IN JAPAN PART II-ELECTRONICS,"Silicon carbide (SiC) has excellent properties as a semiconductor, such as a wide bandgap, a high breakdown electric field, and high heat conductivity. This paper reviews the recent status of device process technology for SiC, especially ion implantation, electrode formation, and etching. In contrast to Si, it is difficult in SiC to recover defects formed by ion implantation, which limits the dose. Thus, high-density doping is restricted, leaving a problem in the forward characteristics of the pn-junction. For n-type SiC, Ni can form a good ohmic electrode. For the p-type, however, there remains room for improvement because the contact resistance is high. As to dry etching, a device can be fabricated at mu m level if fluoride gas is used and the conditions are carefully set. (C) 1999 Scripta Technica.",Silicon carbide; device process; ion implantation; ohmic electrode; dry etching.,,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
rayyan-66582734,"Oliveros, A 2013",Silicon carbide: a versatile material for biosensor applications,"Oliveros, A and Guiseppi-Elie, A and Saddow, SE",2013,1,15,10.1007/s10544-013-9742-3,Biomedical microdevices,"Silicon carbide (SiC) has been around for more than 100 years as an industrial material and has found wide and varied applications because of its unique electrical and thermal properties. In recent years there has been increased attention to SiC as a viable material for biomedical applications. Of particular interest in this review is its potential for application as a biotransducer in biosensors. Among these applications are those where SiC is used as a substrate material, taking advantage of its surface chemical, tribological and electrical properties. In addition, its potential for integration as system on a chip and those applications where SiC is used as an active material make it a suitable substrate for micro-device fabrication. This review highlights the critical properties of SiC for application as a biosensor and reviews recent work reported on using SiC as an active or passive material in biotransducers and biosensors.","Biocompatible Materials/*chemistry;Biosensing Techniques/*instrumentation;Carbon Compounds, Inorganic/*chemistry;Conductometry/*instrumentation;Equipment Design;Equipment Failure Analysis;Micro-Electrical-Mechanical Systems/*instrumentation;*Optical Devices;Silicon Compounds/*chemistry",23319268,x,x,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rayyan-66583271,"Ordonez, J 2012",Thin films and microelectrode arrays for neuroprosthetics,"Ordonez, J and Schuettler, M and Boehler, C and Boretius, T and Stieglitz, T",2012,6,8,10.1557/mrs.2012.117,MRS BULLETIN,"Complex prosthetic limbs, the bionic eye, or brain-computer interfaces implement microelectrode arrays to connect the nervous system to an electronic device. The aim is to partly restore lost body functions or to gather bioelectrical activity from the nervous system. Microelectrode arrays are fabricated to have specific electrical and mechanical properties to match the biological requirements of the intended application. Polyimide and parylene-C are favorable polymers for substrate and insulation layers in thin-film applications. This article reviews the materials and the mechanical and electrical properties of electrode arrays. It emphasizes the often ignored but crucial influence of adhesion of the thin-film layers on the device's longevity and reliability. Adhesion promotion techniques using layers of silicon carbide (SiC) are also discussed. Even though the main focus is on thin-film devices fabricated using traditional methods of micromachining based on lithography, an alternative to thin films, laser-patterned silicone/metal foil microelectrode arrays, is also presented. Characterization as well as application examples of these devices are also presented.","microelectrode arrays, PDMS, neuroprosthetics, thin films, and functional electrical stimulation (FES)",N/A,x,x,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
rayyan-66583023,"Paione, C 2023",Non-Oxide Ceramics for Bone Implant Application: State-of-the-Art Overview with an Emphasis on the Acetabular Cup of Hip Joint Prosthesis,"Paione, CM and Baino, F",2023,4,19,10.3390/ceramics6020059,CERAMICS-SWITZERLAND,"A rapidly developing area of ceramic science and technology involves research on the interaction between implanted biomaterials and the human body. Over the past half century, the use of bioceramics has revolutionized the surgical treatment of various diseases that primarily affect bone, thus contributing to significantly improving the quality of life of rehabilitated patients. Calcium phosphates, bioactive glasses and glass-ceramics are mostly used in tissue engineering applications where bone regeneration is the major goal, while stronger but almost inert biocompatible ceramics such as alumina and alumina/zirconia composites are preferable in joint prostheses. Over the last few years, non-oxide ceramics-primarily silicon nitride, silicon carbide and diamond-like coatings-have been proposed as new options in orthopaedics in order to overcome some tribological and biomechanical limitations of existing commercial products, yielding very promising results. This review is specifically addressed to these relatively less popular, non-oxide biomaterials for bone applications, highlighting their potential advantages and critical aspects deserving further research in the future. Special focus is also given to the use of non-oxide ceramics in the manufacturing of the acetabular cup, which is the most critical component of hip joint prostheses.", bioceramics; hip joint prosthesis; silicon carbide; silicon nitride; DLC,,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rayyan-66582689,"Pancrazio, J 2017",Thinking Small: Progress on Microscale Neurostimulation Technology,"Pancrazio, JJ and Deku, F and Ghazavi, A and Stiller, AM and Rihani, R and Frewin, CL and Varner, VD and Gardner, TJ and Cogan, SF",2017,12,22,10.1111/ner.12716,Neuromodulation : journal of the International Neuromodulation Society,"OBJECTIVES: Neural stimulation is well-accepted as an effective therapy for a wide range of neurological disorders. While the scale of clinical devices is relatively large, translational, and pilot clinical applications are underway for microelectrode-based systems. Microelectrodes have the advantage of stimulating a relatively small tissue volume which may improve selectivity of therapeutic stimuli. Current microelectrode technology is associated with chronic tissue response which limits utility of these devices for neural recording and stimulation. One approach for addressing the tissue response problem may be to reduce physical dimensions of the device. ""Thinking small"" is a trend for the electronics industry, and for implantable neural interfaces, the result may be a device that can evade the foreign body response. MATERIALS AND METHODS: This review paper surveys our current understanding pertaining to the relationship between implant size and tissue response and the state-of-the-art in ultrasmall microelectrodes. A comprehensive literature search was performed using PubMed, Web of Science (Clarivate Analytics), and Google Scholar. RESULTS: The literature review shows recent efforts to create microelectrodes that are extremely thin appear to reduce or even eliminate the chronic tissue response. With high charge capacity coatings, ultramicroelectrodes fabricated from emerging polymers, and amorphous silicon carbide appear promising for neurostimulation applications. CONCLUSION: We envision the emergence of robust and manufacturable ultramicroelectrodes that leverage advanced materials where the small cross-sectional geometry enables compliance within tissue. Nevertheless, future testing under in vivo conditions is particularly important for assessing the stability of thin film devices under chronic stimulation.","Animals;Electrodes, Implanted/standards/*trends;Equipment Design/standards/*trends;Humans;Microelectrodes/standards/*trends;Neurons/*physiology",29076214,x,x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rayyan-66582966,"Saddow, S 2012","Silicon Carbide Biotechnology: A Biocompatible Semiconductor for Advanced Biomedical Devices and Applications, 1st Edition","Saddow, SE",2012,,,9780123859075 (eBook),"SILICON CARBIDE BIOTECHNOLOGY: A BIOCOMPATIBLE SEMICONDUCTOR FOR ADVANCED BIOMEDICAL DEVICES AND APPLICATIONS, 1ST EDITION",,,,x,x,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Glucose,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
rayyan-66582617,"Saddow, S 2022",Silicon Carbide Technology for Advanced Human Healthcare Applications,"Saddow, SE",2022,2,22,10.3390/mi13030346,Micromachines,"Silicon carbide (SiC) is a highly robust semiconductor material that has the potential to revolutionize implantable medical devices for human healthcare, such as biosensors and neuro-implants, to enable advanced biomedical therapeutic applications for humans. SiC is both bio and hemocompatible, and is already commercially used for long-term human in vivo applications ranging from heart stent coatings and dental implants to short-term diagnostic applications involving neural implants and sensors. One challenge facing the medical community today is the lack of biocompatible materials which are inherently smart or, in other words, capable of electronic functionality. Such devices are currently implemented using silicon technology, which either has to be hermetically sealed so it does not directly interact with biological tissue or has a short lifetime due to instabilities in vivo. Long-term, permanently implanted devices such as glucose sensors, neural interfaces, smart bone and organ implants, etc., require a more robust material that does not degrade over time and is not recognized and rejected as a foreign object by the inflammatory response. SiC has displayed these exceptional material properties, which opens up a whole new host of applications and allows for the development of many advanced biomedical devices never before possible for long-term use in vivo. This paper is a review of the state-of-the art and discusses cutting-edge device applications where SiC medical devices are poised to translate to the commercial marketplace.", MRI compatibility; biosensor; nanotechnology; neural interface; silicon carbide,35334637,x,x,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rayyan-66582957,"Shen, K 2021",Ceramic packaging in neural implants,"Shen, KN and Maharbiz, MM",2021,2,25,10.1088/1741-2552/abd683,JOURNAL OF NEURAL ENGINEERING,"The lifetime of neural implants is strongly dependent on packaging due to the aqueous and biochemically aggressive nature of the body. Over the last decade, there has been a drive towards neuromodulatory implants which are wireless and approaching millimeter-scales with increasing electrode count. A so-far unrealized goal for these new types of devices is an in-vivo lifetime comparable to a sizable fraction of a healthy patient's lifetime (>10-20 years). Existing, approved medical implants commonly encapsulate components in metal enclosures (e.g. titanium) with brazed ceramic inserts for electrode feedthrough. It is unclear how amenable the traditional approach is to the simultaneous goals of miniaturization, increased channel count, and wireless communication. Ceramic materials have also played a significant role in traditional medical implants due to their dielectric properties, corrosion resistance, biocompatibility, and high strength, but are not as commonly used for housing materials due to their brittleness and the difficulty they present in creating complex housing geometries. However, thin-film technology has opened new opportunities for ceramics processing. Thin films derived largely from the semiconductor industry can be deposited and patterned in new ways, have conductivities which can be altered during manufacturing to provide conductors as well as insulators, and can be used to fabricate flexible substrates. In this review, we give an overview of packaging for neural implants, with an emphasis on how ceramic materials have been utilized in medical device packaging, as well as how ceramic thin-film micromachining and processing may be further developed to create truly reliable, miniaturized, neural implants.","packaging, ceramics, neural interfaces, implantable medical devices, neurotechnology, neuroengineering, encapsulation",33624611,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
