refID,doi,pubmed_id,title,authors,year,month,day,journal,Review_MainTopics,NeuralEngReview_SubTopics,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,Biosensor,Cardiovascular,Orthopedic_Dental,DrugRelease,GeneralImplants_Other,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,Benchtop,CellCulture_InVitro,ExVivo
"Mantripragada, V 2013",10.1002/jbm.a.34605,23766134,An overview of recent advances in designing orthopedic and craniofacial implants,"Mantripragada, VP and Lecka-Czernik, B and Ebraheim, NA and Jayasuriya, AC",2013,11,,Journal of biomedical materials research. Part A,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Nguyen, N 2021",10.1021/acsaelm.0c01122,,Wide-Band-Gap Semiconductors for Biointegrated Electronics: Recent Advances and Future Directions,"Nguyen, NK and Nguyen, T and Nguyen, TK and Yadav, S and Dinh, T and Masud, MK and Singha, P and Do, TN and Barton, MJ and Ta, HT and Kashaninejad, N and Ooi, CH and Nguyen, NT and Phan, HP",2021,5,25,ACS APPLIED ELECTRONIC MATERIALS,x,x,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Ohno, T 1999",10.1002/(SICI)1520-6432(199902)82:2<48::AID-ECJB6>3.0.CO;2-1,,Recent progress in SiC-based device processing,"Ohno, T",1999,3,9,ELECTRONICS AND COMMUNICATIONS IN JAPAN PART II-ELECTRONICS,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Oliveros, A 2013",10.1007/s10544-013-9742-3,23319268,Silicon carbide: a versatile material for biosensor applications,"Oliveros, A and Guiseppi-Elie, A and Saddow, SE",2013,1,15,Biomedical microdevices,x,x,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ordonez, J 2012",10.1557/mrs.2012.117,N/A,Thin films and microelectrode arrays for neuroprosthetics,"Ordonez, J and Schuettler, M and Boehler, C and Boretius, T and Stieglitz, T",2012,6,8,MRS BULLETIN,x,x,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Paione, C 2023",10.3390/ceramics6020059,,Non-Oxide Ceramics for Bone Implant Application: State-of-the-Art Overview with an Emphasis on the Acetabular Cup of Hip Joint Prosthesis,"Paione, CM and Baino, F",2023,4,19,CERAMICS-SWITZERLAND,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Pancrazio, J 2017",10.1111/ner.12716,29076214,Thinking Small: Progress on Microscale Neurostimulation Technology,"Pancrazio, JJ and Deku, F and Ghazavi, A and Stiller, AM and Rihani, R and Frewin, CL and Varner, VD and Gardner, TJ and Cogan, SF",2017,12,22,Neuromodulation : journal of the International Neuromodulation Society,x,x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Saddow, S 2012",9780123859075 (eBook),,"Silicon Carbide Biotechnology: A Biocompatible Semiconductor for Advanced Biomedical Devices and Applications, 1st Edition","Saddow, SE",2012,,,"SILICON CARBIDE BIOTECHNOLOGY: A BIOCOMPATIBLE SEMICONDUCTOR FOR ADVANCED BIOMEDICAL DEVICES AND APPLICATIONS, 1ST EDITION",x,x,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Glucose,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Saddow, S 2022",10.3390/mi13030346,35334637,Silicon Carbide Technology for Advanced Human Healthcare Applications,"Saddow, SE",2022,2,22,Micromachines,x,x,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Shen, K 2021",10.1088/1741-2552/abd683,33624611,Ceramic packaging in neural implants,"Shen, KN and Maharbiz, MM",2021,2,25,JOURNAL OF NEURAL ENGINEERING,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"Talwar, J 2023",10.5530/jscires.12.2.033,,Global Trends in Silicon Carbide Biosensor Research: A Bibliometric Study,"Talwar, J and Bhardwaj, A and Soni, ND",2023,9,4,JOURNAL OF SCIENTOMETRIC RESEARCH,x,x,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Glucose,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Yakimova, R 2007",10.1088/0022-3727/40/20/s20,,Surface functionalization and biomedical applications based on SiC,"Yakimova, R and Petoral, RM and Yazdi, GR and Vahlberg, C and Spetz, AL and Uvdal, K",2007,10,5,JOURNAL OF PHYSICS D-APPLIED PHYSICS,x,x,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
