,key,refID,title,authors,year,month,day,doi,correction_doi,language,journal,abstract,notes,keywords,pubmed_id,SiC_Type,Application,review_article,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,MaterialProperties,FabricationMethods,BenchtopData
64,rayyan-66582971,"Duran-Martinez, A 2021",Inter-layer coatings for softening polymer-based neural interfaces,"Duran-Martinez, AC and Rocha-Flores, PE and Garcia-Sandoval, A and Badhe, YR and Krishnasamy, R and Joshi-Imre, A and Cogan, SF and Voit, WE",2021,11.0,16,10.1557/s43580-021-00159-1,,eng,MRS ADVANCES,"This paper reports the successful fabrication of softening polymer (SP)-based devices with inter-layer coatings for neural interface applications. SPs are flexible biocompatible polymers that soften upon implantation into the body, thus capable of reducing mechanical stress on the surrounding tissue and increasing the conformability of the implant. The softening process relies on water uptake into the polymer that can affect its electrical insulation capabilities. Employing an amorphous silicon carbide (a-SiC) thin film inter-layer between the metal traces and the SP is expected to provide a reliable water-barrier while allowing the SP plasticization once the device is implanted. We report the electrochemical properties and leakage current characteristics of various structures with a-SiC and polyimide inter-layer coatings under simulated physiological conditions. The fabricated structures demonstrated appropriate electrical properties and were found to be reliable up to a 2.5 mm radius of curvature when bending in compression.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Material Properties,Benchtop/Soak Testing",,,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,False,True
75,rayyan-66582630,"Feng, C 2021b",A Flexible a-SiC-Based Neural Interface Utilizing Pyrolyzed-Photoresist Film (C) Active Sites.,"Feng, C. and Frewin, C.L. and Tanjil, M.R. and Everly, R. and Bieber, J. and Kumar, A. and Wang, M.C. and Saddow, S.E.",2021,7.0,13,10.3390/mi12070821,,eng,Micromachines,"Carbon containing materials, such as graphene, carbon-nanotubes (CNT), and graphene oxide, have gained prominence as possible electrodes in implantable neural interfaces due to their excellent conductive properties. While carbon is a promising electrochemical interface, many fabrication processes are difficult to perform, leading to issues with large scale device production and overall repeatability. Here we demonstrate that carbon electrodes and traces constructed from pyrolyzed-photoresist-film (PPF) when combined with amorphous silicon carbide (a-SiC) insulation could be fabricated with repeatable processes which use tools easily available in most semiconductor facilities. Directly forming PPF on a-SiC simplified the fabrication process which eliminates noble metal evaporation/sputtering and lift-off processes on small features. PPF electrodes in oxygenated phosphate buffered solution at pH 7.4 demonstrated excellent electrochemical charge storage capacity (CSC) of 14.16 C/cm(2), an impedance of 24.8 Â± 0.4 kÎ©, and phase angle of -35.9 Â± 0.6Â° at 1 kHz with a 1.9 kÂµm(2) recording site area.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Benchtop/Soak Testing",Pyrolyzed-photoresist-film; implantable neural interface; silicon carbide biotechnology; microfabrication; microelectrode array,34357231,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,True
79,rayyan-66582764,"Frewin, C 2009",Atomic force microscopy analysis of central nervous system cell morphology on silicon carbide and diamond substrates.,"Frewin, CL and Jaroszeski, M and Weeber, E and Muffly, KE and Kumar, A and Peters, M and Oliveros, A and Saddow, SE",2009,9.0,,10.1002/jmr.966,,eng,Journal of molecular recognition : JMR,"Brain machine interface (BMI) devices offer a platform that can be used to assist people with extreme disabilities, such as amyotrophic lateral sclerosis (ALS) and Parkinson's disease. Silicon (Si) has been the material of choice used for the manufacture of BMI devices due to its mechanical strength, its electrical properties and multiple fabrication techniques; however, chronically implanted BMI devices have usually failed within months of implantation due to biocompatibility issues and the fact that Si does not withstand the harsh environment of the body. Single crystal cubic silicon carbide (3C-SiC) and nanocrystalline diamond (NCD) are semiconductor materials that have previously shown good biocompatibility with skin and bone cells. Like Si, these materials have excellent physical characteristics, good electrical properties, but unlike Si, they are chemically inert. We have performed a study to evaluate the general biocompatibility levels of all of these materials through the use of in vitro techniques. H4 human neuroglioma and PC12 rat pheochromocytoma cell lines were used for the study, and polystyrene (PSt) and amorphous glass were used as controls or for morphological comparison. MTT [3-(4,5-Dimethylthiazol-2-Yl)-2,5-Diphenyltetrazolium Bromide] assays were performed to determine general cell viability with each substrate and atomic force microscopy (AFM) was used to quantify the general cell morphology on the substrate surface along with the substrate permissiveness to lamellipodia extension. 3C-SiC was the only substrate tested to have good viability and superior lamellipodia permissiveness with both cell lines, while NCD showed a good level of viability with the neural H4 line but a poor viability with the PC12 line and lower permissiveness than 3C-SiC. Explanations pertaining to the performance of each substrate with both cell lines are presented and discussed along with future work that must be performed to further evaluate specific cell reactions on these substrates.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,Material Properties,Polycrystalline SiC,Biocompatibility, Cell Culture","Animals;Carbon Compounds, Inorganic/adverse effects/*pharmacology;Cell Line, Tumor;Cell Survival/*drug effects;Central Nervous System/*drug effects/*pathology;Diamond/adverse effects/*pharmacology;Humans;Microscopy, Atomic Force;Neurons/*drug effects/pathology;PC12 Cells;Rats;Silicon Compounds/adverse effects/*pharmacology",19585542,3C-SiC ,Neural_Engineering,False,False,False,False,True,False,False,True,True,False,True
84,rayyan-66582947,"Frewin, C 2016",Silicon Carbide As a Robust Neural Interface (Invited),"Frewin, CL and Bernardin, E and Deku, F and Everly, R and Ul Hassan, J and Pancrazio, JJ and Saddow, SE",2016,,,10.1149/07512.0039ecst,,eng,GALLIUM NITRIDE AND SILICON CARBIDE POWER TECHNOLOGIES 6,"The intracortical neural interface (INI) could be a key component of brain machine interfaces (BMI), devices which offer the possibility of restored physiological neurological functionality for patients suffering from severe trauma to the central or peripheral nervous system. Unfortunately the main components of the INI, microelectrodes, have not shown appropriate long-term reliability due to multiple biological, material, and mechanical issues. Silicon carbide (SiC) is a semiconductor that is completely chemically inert within the physiological environment and can be micromachined using the same methods as with Si microdevices. We are proposing that a SiC material system may provide the improved longevity and reliability for INI devices. The design, fabrication, and preliminary electrical and electrochemical testing of an all-SiC prototype microelectrode array based on 4H-SiC, with an amorphous silicon carbide (a-SiC) insulator, is described. The fabrication of the planar microelectrode was performed utilizing a series of conventional micromachining steps. Preliminary electrochemical data are presented which show that these prototype electrodes display suitable performance.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Polycrystalline SiC,Benchtop/Soak Testing",,,amorphous,Neural_Engineering,False,True,False,False,False,True,False,True,True,True,True
88,rayyan-150234035,"Gavalas, M 2025",Temperature Influence on the Deposition of Nitrogen-Doped Silicon Carbide Polycrystalline Films,"Gavalas, M and Greenhorn, S and Mercier, F and Zekentes, K",2025,1.0,,10.3390/coatings15010106,,eng,COATINGS,"Polycrystalline nitrogen-doped cubic silicon carbide (3C-SiC) thin films are grown on 2 '' Si wafers by a low-pressure chemical vapor deposition (LPCVD) technique with the aim for them to be used as support and active materials in microelectronic devices for neural interfaces. The effect of deposition temperature on the structural, mechanical, and electrical properties is investigated. The growth rate is varying, from 1 mu m/h to 14 mu m/h, along with the deposition temperature. We show that the structural and electrical properties of polycrystalline SiC are modified when changing the deposition temperature. Films with resistivity as low as (10.0 +/- 0.5) m Omega<middle dot>cm, a low residual stress of (-397 +/- 158) MPa, and a low root mean square surface roughness of (53 +/- 19) nm are achieved. Accelerated aging tests in heated phosphate buffer solution (PBS) show an etching rate of less than 1 nm/day and a steady low electrical resistivity for 77 days, indicating that the nitrogen-doped polycrystalline SiC is a chemically stable material, capable of chronic stability in a saline electrolyte.     FU  - National French Research Agency [ANR-21-CE19-0054-01]; National French Research Agency under the project SiCNeural (ANR) [101091433]; Horizon Europe research and innovation program NANOMAT     FX  - This research was funded by the National French Research Agency under the project SiCNeural (ANR Grant ID: ANR-21-CE19-0054-01) and a Horizon Europe research and innovation program NANOMAT with the grant agreement no. 101091433.     PU  - MDPI     PI  - BASEL     PA  - ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | USER-NOTES: {""Rebecca""=>[""New Ref Set 2025""]}",,,3C-SiC,Neural_Engineering,False,False,False,False,True,False,False,True,True,True,True
93,rayyan-150234042,"Geramifard, N 2024",Flexible and Extensible Ribbon-Cable Interconnects for Implantable Electrical Neural Interfaces,"Geramifard, N and Khajehzadeh, M and Dousti, B and Abbott, JR and Nguyen, CK and Hernandez-Reynoso, AG and Joshi-Imre, A and Varner, VD and Cogan, SF",2024,10.0,30,10.1021/acsami.4c11773,,eng,ACS APPLIED MATERIALS & INTERFACES,"The design and characterization of thin-film ribbon cables as electrical interconnects for implanted neural stimulation and recording devices are reported. Our goal is to develop flexible and extensible ribbon cables that integrate with thin-film, cortical penetrating microelectrode arrays (MEAs). Amorphous silicon carbide (a-SiC) and polyimide were employed as the structural elements of the ribbon cables and multilayer titanium/gold thin films as electrical traces. Using photolithography and thin-film processing, ribbon cables with linear and serpentine electrical traces were investigated. A cable design with an open lattice geometry was also investigated as a means of achieving high levels of extensibility while preserving the electrical function of the cables. Multichannel ribbon cables were fabricated with 50 mm lengths and metallization trace widths of 2-12 mu m. The ribbon cables tolerate flexural bending to a radius of 50 mu m with no change in trace impedance but tolerate less than 5% tensile elongation without trace failure. Ribbon cables with a lattice structure exhibit 300% elongation without failure. The high elongation tolerance is attributed to a lattice design that results in an out-of-plane displacement that avoids fracture or plastic deformation. Extensible ribbon cables underwent up to 50,000 tensile elongation cycles to 45% extension without failure. An electrical interconnect process using through-holes in the distal gold bond pads of the ribbon cables was used to connect to an a-SiC-based MEA. The electrical connection was created by stenciling a conductive epoxy into the through-holes, bridging metallization between the traces, and MEA. The interconnect was tested using a ribbon cable connected to an a-SiC MEA implanted acutely in rat cortex and used to record neuronal activity. These highly flexible and extensible ribbon cables are expected to accommodate large extensions and facilitate cable routing during surgical implantation. They may also reduce tethering forces on implanted electrode arrays, potentially improving chronic neural recording performance.     FU  - National Institute of Neurological Disorders and Stroke [R01NS104344]; National Institute of Neurological Disorders and Stroke of the National Institutes of Health     FX  - This research was supported by the National Institute of Neurological Disorders and Stroke of the National Institutes of Health grant R01NS104344. The content is solely the responsibility of the authors and does not necessarily represent the official views of the National Institutes of Health.     PU  - AMER CHEMICAL SOC     PI  - WASHINGTON     PA  - 1155 16TH ST, NW, WASHINGTON, DC 20036 USA","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | USER-NOTES: {""Rebecca""=>[""New Ref Set 2025""]}",,,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,True
119,rayyan-66582771,"Hsu, J 2007",Characterization of a-SiC(x):H thin films as an encapsulation material for integrated silicon based neural interface devices.,"Hsu, JM and Tathireddy, P and Rieth, L and Normann, AR and Solzbacher, F",2007,11.0,1,10.1016/j.tsf.2007.04.050,,eng,Thin solid films,"A fully integrated, wireless neural interface device is being developed to free patients from the restriction and risk of infection associated with a transcutaneous wired connection. This device requires a hermetic, biocompatible encapsulation layer at the interface between the device and the neural tissue to maintain long-term recording/stimulating performance of the device. Hydrogenated amorphous silicon carbide (a-SiC(x):H) films deposited by a plasma enhanced chemical vapor deposition using SiH(4), CH(4), and H(2) precursors were investigated as the encapsulation layer for such device. Si-C bond density, measured by Fourier transform infrared absorption spectrometer, suggests that deposition conditions with increased hydrogen dilution, increased temperature, and low silane flow typically result in increase of Si-C bond density. From the variable angle spectroscopic ellipsometry measurement, no dissolution of a-SiC(x):H was observed during soaking tests in 90Â°C phosphate buffered saline. Conformal coating of the a-SiC(x):H in Utah electrode array was observed by scanning electron microscope. Electrical properties were studied by impedance spectroscopy to investigate the performance of a-SiC(x):H as an encapsulation layer, and the results showed long term stability of the material.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Benchtop/Soak Testing",Amorphous silicon carbide; biomedical device encapsulation; dielectrics; PECVD; passivation,18437249,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,True
120,rayyan-66583236,"Hsu, J 2008","Effect of thermal and deposition processes on surface morphology, crystallinity, and adhesion of Parylene-C","Hsu, JM and Rieth, L and Kammer, S and Orthner, M and Solzbacher, F",2008,2.0,4,10.18494/SAM.2008.515,,eng,SENSORS AND MATERIALS,"Neural interface devices have been developed for neural science and neuroprosthetics applications to record and stimulate neural signals. Chemical-vapor-deposited Parylene-C films were studied as an encapsulation material for such an implantable device. The surface morphology of an implant Affects its biocompatibility; thus, the Parylene-C surface morphology was investigated as a function of the precursor sublimation rate by atomic force microscopy. We found that high precursor sublimation rates resulted in slightly higher root-mean-square surface roughnesses (from 5.78 to 9.53 nm for deposition rates from 0.015 to 0.08 g/min). The crystallinity affects the physical properties of semicrystalline polymers, and various heat treatments were found to modify the crystallinity of Parylene-C films, as assessed by X-ray diffraction (XRD). The XRD peak at 2 theta = similar to 14.5 degrees increased in intensity and decreased in full width at half maximum with increasing annealing temperature, indicating an increase in film crystallinity. Poor adhesion would compromise the protection offered by Parylene-C coatings. The adhesion between Parylene-C and silicon, amorphous silicon carbide, and boron silicate glass substrates were evaluated using the standard tape adhesion test from the American Society for Testing and Materials (ASTM) in an attempt to minimize the occurrence of delamination failures. The tape adhesion tests indicated strong adhesion for all the as-deposited Parylene films with the application of an adhesion promoter (Silquest A-174(R) silane). However, annealing the deposited films at temperatures from 85 to 150 degrees C in air for 20 min reduced film adhesion, and also the adhesion testing procedure used significantly affects the results obtained. Supporting evidence suggested that the thermal stress generated in the films weakened the adhesive force. We concluded that the Parylene-C film properties (surface morphology, crystallinity, and adhesion) changed during deposition and thermal annealing, suggesting that the Parylene-C film properties can be tailored and that, with care, failure due to film delamination can be avoided.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,Fabrication Method,Material Properties,Benchtop/Soak Testing","CVD thin film, adhesion, surface morphology, crystallinity, Parylene-C",,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,True
134,rayyan-66583174,"Kechi, E 2024","Computational Investigation of Antimony Co-doped with Tungsten (W), Molybdenum (Mo), and Chromium (Cr) on Silicon-carbide Nanotubes: As Dopamine Sensors for the Observation of Neurodegenerative Diseases","Kechi, EL and Gulack, AO and Edet, HO and Oduma, SJ and Imojara, B",2024,8.0, ,10.1007/s12668-024-01537-3,,eng,BIONANOSCIENCE,"Neurodegenerative disorders are diseases that affect the brain, and their diagnosis has been a clinical challenge since their inception which is suggested to be as the result of complexity of the brain. In this research, we investigated dopamine as a major indicator of diverse CNS diseases such as Parkinson, schizophrenia, attention deficit hyperactivity disorder (ADHD), and addiction, which are linked to chemical imbalance of dopamine (DPM). Silicon-carbide nanotubes (SiCNTs) were computationally synthesized with antimony (Sb) as the major dopant and doped with other transition metal, such as tungsten (W), molybdenum (Mo), or chromium (Cr), to improve the adsorption capacity of the nanotube materials through theoretical calculations based on density functional theory. This study elucidates the structure of modified silicon-carbide nanotubes for the application of dopamine biomarker. The majority of the systems show promising stability before and after interaction with DPM molecules, and chemisorption characteristic was observed following their adsorption with the DPM. The adsorption of DPM on the Antimony dopant SiCNT surface showed adsorption energy of -0.5442 eV, but after the inoculation of chromium (Cr), molybdenum (Mo), and tungsten (W) transition metals on the Sb@SiCNT surface, the adsorption tenacity increased to -2.7211 eV, -2.7211 eV, and -3.5375 eV, respectively. Therefore, our findings suggested that implementation of transitional metals on Sb dopant SiCNTs can be a promising biosensor for the detection or adsorption of dopamine and related hormones.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Biosensor,Neural Eng,General SiC,Fabrication Method",,,other,Neural_Engineering,False,False,True,False,False,False,False,True,True,True,False
140,rayyan-66582681,"Klein, E 2018",High-Density ?LED-Based Optical Cochlear Implant With Improved Thermomechanical Behavior,"Klein, E and Gossler, C and Paul, O and Ruther, P",2018,10.0,1,10.3389/fnins.2018.00659,,eng,Frontiers in neuroscience,"This study reports the realization of an optical cochlear implant (oCI) with optimized thermomechanical properties for optogenetic experiments. The oCI probe comprises 144 miniaturized light-emitting diodes (Î¼LEDs) distributed along a bendable, 1.5-cm-long, 350-Î¼m-wide and 26-Î¼m-thick probe shaft, individually controlled via a n Ã— p matrix interconnection. In contrast to our earlier approach based on polyimide (PI) and epoxy resin with different thermal expansion coefficients, the Î¼LEDs and interconnecting wires are now embedded into a triple-layer stack of a single, biocompatible, and highly transparent epoxy material. The new material combination results in a pronounced reduction of thermomechanical bending in comparison with the material pair of the earlier approach. We developed a spin-coating process enabling epoxy resin layers down to 5 Î¼m at thickness variations of less than 7% across the entire carrier wafer. We observed that the cross-linking of epoxy resin layers strongly depends on the spin-coating parameters which were found to be correlated to a potential separation of epoxy resin components of different densities. Furthermore, various metallization layers and corresponding adhesion promoting layers were investigated. We identified the combination of silicon carbide with a titanium-based metallization to provide the highest peeling strength, achieving an adhesion to epoxy improved by a factor of two. In order to obtain a high process yield, we established a stress-free implant release using the electrochemical dissolution of a sacrificial aluminum layer. The direct comparison of oCI probe variants using a single epoxy material and the combination of PI and epoxy resin revealed that the epoxy-resin-only probe shows minimal thermomechanical probe bending with a negligible hysteresis. The thermal probe characterization demonstrated that the temperature increase is limited to 1 K at Î¼LED DC currents of up to 10 mA depending on the stimulation duration and the medium surrounding the probe. The optical output power and peak wavelengths of the new oCI variant were extracted to be 0.82 mW and 462 nm when operating the Î¼LEDs at 10 mA, 10 kHz, and a duty cycle of 10%. The optical power corresponds to a radiant emittance of 407 mW/mm(2), sufficient for optogenetic experiments using channelrhodopsin-2.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,General SiC,Fabrication Method,Material Properties", cochlear implant; epoxy; micro light-emitting diode (?LED); optogenetics; thermomechanical behavior,30327585,other,Neural_Engineering,False,False,True,False,False,False,False,True,True,True,False
144,rayyan-66582549,"Kuliasha, C 2018",in vitro Reactive-Accelerated-Aging (RAA) Assessment of Tissue-Engineered Electronic Nerve Interfaces (TEENI),"Kuliasha, C. A. and Judy, J. W.",2018,7.0,,10.1109/EMBC.2018.8513458,,eng,2018 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"A reactive-accelerated-aging (RAA) soak-test has been employed to challenge microfabricated neural interface devices against an aggressive environment that mimics worstcase chronic physiological inflammation. The RAA tests were able to determine the ability of different materials to increase the adhesive strength of the polyimide and platinum-goldplatinum metallization thin-film interface. It was found that a 3-day RAA soak-test at 87 Â°C in phosphate buffered saline with 10 to 20 mM hydrogen peroxide resulted in adhesive failure of the metal-polyimide interface when titanium was used as the primary adhesion promotor. The addition of hydrogenated amorphous silicon carbide was able to eliminate the onset of adhesive failure of the metal-polyimide interface during 7-day RAA soak tests. However, sporadic cracking of the silicon carbide layer resulted in a minority of broken metal interconnects that resulted in failed electrodes. These tests have demonstrated the ability of RAA soak tests to provide rapid in vitro assessment of microfabricated neural interfaces and thereby reduce the time needed to develop synthetic methods to fabricate chronically reliable devices.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Material Properties,Benchtop/Soak Testing",Electrodes;Metals;Delamination;Implants;Impedance;Adhesives,30441478,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,True
145,rayyan-66582627,"Kuliasha, C 2021",The Materials Science Foundation Supporting the Microfabrication of Reliable Polyimide-Metal Neuroelectronic Interfaces.,"Kuliasha, CA and Judy, JW",2021,5.0,3,10.1002/admt.202100149,,eng,Advanced materials technologies,"Thin-film polyimide-metal neuroelectronic interfaces hold the potential to alleviate many neurological disorders. However, their long-term reliability is challenged by an aggressive implant environment that causes delamination and degradation of critical materials, resulting in a degradation or complete loss of implant function. Herein, a rigorous and in-depth analysis is presented on the fabrication and modification of critical materials in these thin-film neural interfaces. Special attention is given to improving the interfacial adhesion between thin films and processing modifications to maximize device reliability. Fundamental material analyses are performed on the polyimide substrate and adhesion-promotion candidates, including amorphous silicon carbide (a-SiC:H), amorphous carbon, and silane coupling agents. Basic fabrication rules are identified to markedly improve polyimide self-adhesion, including optimizing the polyimide-cure profile and maximizing high-energy surface activation. In general, oxide-forming materials are identified as poor adhesive aids to polyimide without targeted modifications. Methods are identified to incorporate effective a-SiC:H interfacial layers to improve metal adherence to polyimide, in addition to examples of alloying between adjacent material layers that can impact the trace resistivity and long-term reliability of the thin-film interfaces. The provided rationale and consequences of key decisions made should promote more reproducible science using robust and reliable neuroelectronic technology.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties",Silicon carbide; neural interface; delamination; ,34632047,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,False
174,rayyan-66582559,"Mittnacht, A 2019",Stability of polyimide integrated ITO electrodes,"Mittnacht, A. and Alt, M. T. and Stieglitz, T.  and Eickenscheidt, M.",2019,3.0,,10.1109/NER.2019.8717179,,eng,2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),"Multi-modal devices combining several recording and stimulation techniques like optical and electrophysiological ones become more and more relevant. For optical applications, novel electrode materials providing high transparency and stability are required. Therefore, mechanical and electrochemical improvement of the transparent and highly conductive material indium-tin-oxide (ITO) was studied to examine future application in chronic implantable systems. Accelerated aging in vitro showed a possible sub-chronical operational time, whereas the ITO phase boundary underwent a transition from capacitive behavior to a Warburg impedance. Furthermore, an additional transparent adhesion layer of silicon carbide (SiC) between the polyimide substrate and the ITO layer was integrated. This greatly enhanced the thermal and mechanical stability of ITO on the flexible substrate, which enable many possibilities for future manufacturing processes and applications.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Implanted Electronics",Indium tin oxide;Electrodes;Silicon carbide;Adhesives;Polyimides;Platinum;Accelerated aging,,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,True
184,rayyan-66582875,"Nguyen, C 2021",Evaluation of Amorphous Silicon Carbide on Utah Electrode Arrays by Thermal Accelerated Aging,"Nguyen, C. K. and Abbott , J. R. and  Negi , S. and Cogan, S. F. ",2021,,,10.1109/EMBC46164.2021.9629701,,eng,2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"Long-term microelectrode arrays (MEAs) are essential devices for studying neural activity and stimulating neurons for treating neurological disorders or for recording neural activity to control prosthesis. However, practical use of MEAs is impeded by unreliable chronic stability inside the host body. We are proposing to implement amorphous silicon carbide (a-SiC) as a replacement for the current standard practice of using Parylene-C encapsulation on commercial Utah electrode arrays (UEAs) manufactured by Blackrock Neurotech. By using thermal accelerated aging (TAA), we can theoretically evaluate the lifetime stabilities in comparatively short time. After 255 days at 87Â°C in phosphate-buffered saline (PBS), a device has theoretically reached ~22 years at 37Â°C in PBS. We report on a study of an a-SiC UEA using stability criteria of impedance (Z1kHz < 70 kÎ©) and cathodal charge storage capacity (CSCc > 10 mC/cm2). At 255 days, no total electrode failures have been observed.Clinical Relevanceâ€” This research demonstrates the suitability of a-SiC to encapsulate MEAs during under long-term stability in saline environments.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Benchtop/Soak Testing",Encapsulation;Accelerated aging;Stability criteria;Neural activity;Amorphous silicon;Frequency measurement;Impedance,,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,True,True
202,rayyan-66583134,"Panday, R 2006",Mechanical testing of flexible silicon carbide interconnect ribbons,"Panday, R and Fu, XA and Rajgopal, S and Lisby, T and Nikles, SA and Najafi, K and Mehregany, M",2006,10.0,1,10.4028/www.scientific.net/MSF.527-529.1107,,eng,"SILICON CARBIDE AND RELATED MATERIALS 2005, PTS 1 AND 2","This paper explores polycrystalline 3C-silicon carbide (poly-SiC) deposited by LPCVD for fabricating flexible ribbon cable interconnects for micromachined neural probes. While doped silicon is used currently, we hypothesized that poly-SiC will provide enhanced mechanical robustness due to SiC's superior mechanical properties. Paralleling prior work in silicon, forty-two different designs were fabricated from nitrogen-doped poly-SiC films deposited by LPCVD at 900 degrees C using dichlorosilane and acetylene as precursors. The different designs were then tested in bending and twisting modes. Curved beams were found to bend nearly 250% more than straight beams before fracture. Longer beams withstood greater bending and twisting due to greater compliance. Longer and narrower beams generally outperformed shorter beams irrespective of design. Also, doped poly-SiC beams had, on average, breaking angles that were greater than those of identical doped silicon beams by similar to 50% in bending and similar to 20% in twisting modes. The paper details the designs studied, describes the fabrication process for the test structures and compares/contrasts the testing and simulation results related to the different designs to identify best design practices.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,Fabrication Method,Material Properties,Polycrystalline SiC,Benchtop/Soak Testing",,,3C-SiC ,Neural_Engineering,False,False,False,False,True,False,False,True,True,True,True
204,rayyan-66583256,"Pham, T 2020",A Versatile Sacrificial Layer for Transfer Printing of Wide Bandgap Materials for Implantable and Stretchable Bioelectronics,"Pham, TA and Nguyen, TK and Vadivelu, RK and Dinh, T and Qamar, A and Yadav, S and Yamauchi, Y and Rogers, JA and Nguyen, NT and Phan, HP",2020,9.0,4,10.1002/adfm.202004655,,eng,ADVANCED FUNCTIONAL MATERIALS,"Improving and optimizing the processes for transfer printing have the potential to further enhance capabilities in heterogeneous integration of various sensing materials on unconventional substrates for implantable and stretchable electronic devices in biosensing, diagnostics, and therapeutic applications. An advanced transfer printing method based on sacrificial layer engineering for silicon carbide materials in stretchable electronic devices is presented here. In contrast to the typical processes where defined anchor structures are required for the transfer step, the use of a sacrificial layer offers enhances versatility in releasing complex microstructures from rigid donor substrates to flexible receiver platforms. The sacrificial layer also minimizes twisting and wrinkling issues that may occur in free-standing microstructures, thereby facilitating printing onto flat polymer surfaces (e.g., polydimethylsiloxane). The experimental results demonstrate that transferred SiC microstructures exhibit good stretchability, stable electrical properties, excellent biocompatibility, as well as promising sensing-functions associated with a high level of structural perfection, without any cracks or tears. This transfer printing method can be applied to other classes of wide bandgap semiconductors, particularly group III-nitrides and diamond films epitaxially grown on Si substrates, thereby serving as the foundation for the development and possible commercialization of implantable and stretchable bioelectronic devices that exploit wide bandgap materials.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,General SiC,Fabrication Method,Material Properties,Benchtop/Soak Testing,Implanted Electronics",,,other,Neural_Engineering,False,False,True,False,False,False,False,True,True,True,True
