,key,refID,title,authors,year,month,day,doi,correction_doi,language,journal,abstract,notes,keywords,pubmed_id,SiC_Type,Application,review_article,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,BenchtopData,BiocompatibilityData,ExVivoData
42,rayyan-66582428,"Cogan, S 2013",Stability of thin-film wireless recording and stimulation devices for epilepsy monitoring,"Cogan, Stuart F. and Troyk, Philip R. and DeMichele, Glenn",2013,11.0,,10.1109/NER.2013.6696106,,eng,2013 6th International IEEE/EMBS Conference on Neural Engineering (NER),"The stability of thin-film multielectrode devices fabricated on flexible polyimide substrates was evaluated for wireless subdural recording and stimulation in intracranial electrocorticogram (ECoG) monitoring prior to epilepsy surgery. Devices were fabricated with either 48 or 64 sputtered iridium oxide (SIROF) electrodes. Power and bidirectional data transfer were provided via 121 kHz and 13.56 MHz RF links, respectively. A 64-channel application specific integrated circuit (ASIC) was developed for the devices and provided both the recording and stimulation capability. The ASIC, supporting discrete electronic components, and data/power coils were incorporated on a polyimide substrate and protected from the saline environment by a combination of amorphous silicon carbide (a-SiC) and silicone encapsulants. Soak testing at 37Â°C in saline under continuous power, and unpowered soak testing at 87Â°C, were conducted for 29 days and 12 days, respectively. Normal function of the ASIC and device, as measured by the consistency in RMS signal strength and stimulation driving voltage, was observed over the test periods. The charge capacity measured by cyclic voltammetry and the impedance of the SIROF electrodes remained stable over 20 days at 87Â°C. The results suggest that a-SiC and silicone encapsulants can protect active electronics for implantation periods up to 29 days, the maximum length anticipated for ECoG monitoring in epilepsy patients.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Benchtop/Soak Testing",Electrodes;Application specific integrated circuits;Wireless communication; Electrocorticogram;Polyimides;Impedance;Arrays;Monitoring,,amorphous,Neural_Engineering,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False
44,rayyan-66582560,"Cvancara, P 2019",3D Patterned Thin-Film Electrodes for Neural Prosthetics-Proof of Concept,"Cvancara, P. and Newman, S. and Stieglitz, T.",2019,3.0,,10.1109/NER.2019.8716920,,eng,2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),"The applications of polyimide (PI) based thin-film electrodes in neural implants has been steadily increasing in the last decades. Beside the advantages of factors such as size reduction and chemical inertness, the adhesion between PI and metals lacks the necessary robustness for chronic implantation [1]. Adhesion promoters like silicon carbide (SiC) and titanium help increase the long-term stability [1]-[3]. However crack formation is still probable in thin-film metallization of active contact sites, which can lead to detrimental thin-film metal delamination. This work presents our process to integrate 3D groove structures into the active contact sites, thereby reducing the probability of crack formation. The contact sites were entirely covered with a sputtered iridium oxide film (SIROF) and showed more conformable electrochemical properties compared to regular planar SIROF contact sites.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Benchtop/Soak Testing","Electrodes;Adhesives;Platinum;Silicon carbide;SIROF,Polyimide;Delamination",,other,Neural_Engineering,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False
45,rayyan-66582653,"Cvancara, P 2020",Stability of flexible thin-film metallization stimulation electrodes: analysis of explants after first-in-human study and improvement of in vivo performance.,"Cvancara, P and Boretius, T and  Lopez-Alvarez, VM and Maciejasz, P and Andreu, D and Raspopovic, S and Petrini, F and Micera, S and Granata, G and Fernandez, E and Rossini, PM and Yoshida, K and Jensen, W and Divoux, JL and Guiraud, D and Navarro, X and Stieglitz, T",2020,7.0,10,10.1088/1741-2552/ab9a9a,,eng,Journal of neural engineering,"OBJECTIVE: Micro-fabricated neural interfaces based on polyimide (PI) are achieving increasing importance in translational research. The ability to produce well-defined micro-structures with properties that include chemical inertness, mechanical flexibility and low water uptake are key advantages for these devices. APPROACH: This paper reports the development of the transverse intrafascicular multichannel electrode (TIME) used to deliver intraneural sensory feedback to an upper-limb amputee in combination with a sensorized hand prosthesis. A failure mode analysis on the explanted devices was performed after a first-in-human study limited to 30 d. MAIN RESULTS: About 90% of the stimulation contact sites of the TIMEs maintained electrical functionality and stability during the full implant period. However, optical analysis post-explantation revealed that 62.5% of the stimulation contacts showed signs of delamination at the metallization-PI interface. Such damage likely occurred due to handling during explantation and subsequent analysis, since a significant change in impedance was not observed in vivo. Nevertheless, whereas device integrity is mandatory for long-term functionality in chronic implantation, measures to increase the bonding strength of the metallization-PI interface deserve further investigation. We report here that silicon carbide (SiC) is an effective adhesion-promoting layer resisting heavy electrical stimulation conditions within a rodent animal trial. Optical analysis of the new electrodes revealed that the metallization remained unaltered after delivering over 14 million pulses in vivo without signs of delamination at the metallization-PI interface. SIGNIFICANCE: Failure mode analysis guided implant stability optimization. Reliable adhesion of thin-film metallization to substrate has been proven using SiC, improving the potential transfer of micro-fabricated neural electrodes for chronic clinical applications. (Document number of Ethical Committee: P/905/CE/2012; Date of approval: 2012-10-04).","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data","*Amputees;Animals;Electric Impedance;Electric Stimulation;Electrodes;Electrodes, Implanted;Humans;Microelectrodes;*Prostheses and Implants",32512544,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
51,rayyan-66582691,"Deku, F 2018a",Amorphous silicon carbide ultramicroelectrode arrays for neural stimulation and recording.,"Deku, F and Cohen, Y and Joshi-Imre, A and Kanneganti, A and Gardner, TJ and Cogan, SF",2018,2.0,1,10.1088/1741-2552/aa8f8b,,eng,Journal of neural engineering,"OBJECTIVE: Foreign body response to indwelling cortical microelectrodes limits the reliability of neural stimulation and recording, particularly for extended chronic applications in behaving animals. The extent to which this response compromises the chronic stability of neural devices depends on many factors including the materials used in the electrode construction, the size, and geometry of the indwelling structure. Here, we report on the development of microelectrode arrays (MEAs) based on amorphous silicon carbide (a-SiC). APPROACH: This technology utilizes a-SiC for its chronic stability and employs semiconductor manufacturing processes to create MEAs with small shank dimensions. The a-SiC films were deposited by plasma enhanced chemical vapor deposition and patterned by thin-film photolithographic techniques. To improve stimulation and recording capabilities with small contact areas, we investigated low impedance coatings on the electrode sites. The assembled devices were characterized in phosphate buffered saline for their electrochemical properties. MAIN RESULTS: MEAs utilizing a-SiC as both the primary structural element and encapsulation were fabricated successfully. These a-SiC MEAs had 16 penetrating shanks. Each shank has a cross-sectional area less than 60 Âµm(2) and electrode sites with a geometric surface area varying from 20 to 200 Âµm(2). Electrode coatings of TiN and SIROF reduced 1â€‰kHz electrode impedance to less than 100 kÎ© from ~2.8 MÎ© for 100 Âµm(2) Au electrode sites and increased the charge injection capacities to values greater than 3 mC cm(-2). Finally, we demonstrated functionality by recording neural activity from basal ganglia nucleus of Zebra Finches and motor cortex of rat. SIGNIFICANCE: The a-SiC MEAs provide a significant advancement in the development of microelectrodes that over the years has relied on silicon platforms for device manufacture. These flexible a-SiC MEAs have the potential for decreased tissue damage and reduced foreign body response. The technique is promising and has potential for clinical translation and large scale manufacturing.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Benchtop/Soak Testing","Animals;Basal Ganglia/*physiology;*Carbon Compounds, Inorganic/chemistry;*Coated Materials, Biocompatible/chemistry;Electric Stimulation/methods;*Electrodes, Implanted;Finches;Microelectrodes;Motor Cortex/*physiology;Rats;*Silicon Compounds/chemistry",28952963,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False
52,rayyan-66582678,"Deku, F 2018b",Amorphous Silicon Carbide Platform for Next Generation Penetrating Neural Interface Designs.,"Deku, F and Frewin, CL and Stiller, A and Cohen, Y and Aqeel, S and Joshi-Imre, A and Black, B and Gardner, TJ and Pancrazio, JJ and Cogan, SF",2018,9.0,20,10.3390/mi9100480,,eng,Micromachines,"Microelectrode arrays that consistently and reliably record and stimulate neural activity under conditions of chronic implantation have so far eluded the neural interface community due to failures attributed to both biotic and abiotic mechanisms. Arrays with transverse dimensions of 10 Âµm or below are thought to minimize the inflammatory response; however, the reduction of implant thickness also decreases buckling thresholds for materials with low Young's modulus. While these issues have been overcome using stiffer, thicker materials as transport shuttles during implantation, the acute damage from the use of shuttles may generate many other biotic complications. Amorphous silicon carbide (a-SiC) provides excellent electrical insulation and a large Young's modulus, allowing the fabrication of ultrasmall arrays with increased resistance to buckling. Prototype a-SiC intracortical implants were fabricated containing 8 - 16 single shanks which had critical thicknesses of either 4 Âµm or 6 Âµm. The 6 Âµm thick a-SiC shanks could penetrate rat cortex without an insertion aid. Single unit recordings from SIROF-coated arrays implanted without any structural support are presented. This work demonstrates that a-SiC can provide an excellent mechanical platform for devices that penetrate cortical tissue while maintaining a critical thickness less than 10 Âµm.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Material Properties",Amorphous silicon carbide; neural stimulation and recording; insertion force; microelectrodes; neural interfaces,30424413,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False
53,rayyan-66582682,"Deku, F 2018c",Effect of oxidation on intrinsic residual stress in amorphous silicon carbide films.,"Deku, F and Mohammed, S and Joshi-Imre, A and Maeng, J and Danda, V and Gardner, TJ and Cogan, SF",2018,10.0,15,10.1002/jbm.b.34258,,eng,"Journal of biomedical materials research. Part B, Applied biomaterials","The change in residual stress in plasma enhanced chemical vapor deposition amorphous silicon carbide (a-SiC:H) films exposed to air and wet ambient environments is investigated. A close relationship between stress change and deposition condition is identified from mechanical and chemical characterization of a-SiC:H films. Evidence of amorphous silicon carbide films reacting with oxygen and water vapor in the ambient environment are presented. The effect of deposition parameters on oxidation and stress variation in a-SiC:H film is studied. It is found that the films deposited at low temperature or power are susceptible to oxidation and undergo a notable increase in compressive stress over time. Furthermore, the films deposited at sufficiently high temperature (â‰¥325 C) and power density (â‰¥0.2 W cm(-2) ) do not exhibit pronounced oxidation or temporal stress variation. These results serve as the basis for developing amorphous silicon carbide based dielectric encapsulation for implantable medical devices. Â© 2018 Wiley Periodicals, Inc. J Biomed Mater Res Part B: Appl Biomater 107B: 1654-1661, 2019.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties","Carbon Compounds, Inorganic/*chemistry;Coated Materials, Biocompatible/*chemistry;Hot Temperature;Mechanical Phenomena;Membranes, Artificial;Molecular Conformation;Nitrogen/chemistry;Oxidation-Reduction;Oxygen/chemistry;Silicon Compounds/*chemistry;Surface Properties;Vapor Pressure;Water/chemistry",30321479,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False
57,rayyan-66582531,"Diaz-Botia, C 2017a",Fabrication of all-silicon carbide neural interfaces,"Diaz-Botia, C. A. and Luna, L. E. and Chamanzar, M. and Carraro, C. and Sabes, P. N. and Maboudian, R. and Maharbiz, M. M. ",2017,5.0,,10.1109/NER.2017.8008319,,eng,2017 8th International IEEE/EMBS Conference on Neural Engineering (NER),"A significant and recognized problem in implantable neural recording and stimulation probes is operational lifetime. It is well known that both electrophysiological recording and, to a lesser extent, stimulation probes suffer severe performance degradation over periods ranging from months to a few years. Performance degradation of implantable probes arises due to a number of factors, including systemic host response, glial scarring, cellular responses to non-inert materials and, importantly, probe material degradation and delamination. SiC has superior chemical inertness and molecule barrier properties that result in insulation endurance for long term applications in bodily fluids. We present a microfabrication process that employs both insulating and conducting silicon carbide thin films to produce a novel type of implantable neural probes which present no heterogenous material interfaces to the biological environment. The exterior of our devices is composed of seamless transitions between doped and insulating SiC, completely encapsulating metal traces necessary to reduce track resistivity. The fabrication process is specifically designed such that the only interfaces presented to the extracellular fluid are made entirely from SiC, thus rendering these arrays very resistant to long-term delamination and interface failure. This process presents an important path towards neural implants for truly chronic applications; the fabrication method can be readily applied to most variants of electrophysiological recording probes.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Polycrystalline SiC",Silicon carbide;Electrodes;Insulation;Polyimides;Impedance;Degradation;Probes,,amorphous,Neural_Engineering,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
58,rayyan-66582693,"Diaz-Botia, C 2017b",A silicon carbide array for electrocorticography and peripheral nerve recording.,"Diaz-Botia, CA and Luna, LE and Neely, RM and Chamanzar, M and Carraro, C and Carmena, JM and Sabes, PN and Maboudian, R and Maharbiz, MM",2017,8.0,16,10.1088/1741-2552/aa7698,,eng,Journal of neural engineering,"OBJECTIVE: Current neural probes have a limited device lifetime of a few years. Their common failure mode is the degradation of insulating films and/or the delamination of the conductor-insulator interfaces. We sought to develop a technology that does not suffer from such limitations and would be suitable for chronic applications with very long device lifetimes. APPROACH: We developed a fabrication method that integrates polycrystalline conductive silicon carbide with insulating silicon carbide. The technology employs amorphous silicon carbide as the insulator and conductive silicon carbide at the recording sites, resulting in a seamless transition between doped and amorphous regions of the same material, eliminating heterogeneous interfaces prone to delamination. Silicon carbide has outstanding chemical stability, is biocompatible, is an excellent molecular barrier and is compatible with standard microfabrication processes. MAIN RESULTS: We have fabricated silicon carbide electrode arrays using our novel fabrication method. We conducted in vivo experiments in which electrocorticography recordings from the primary visual cortex of a rat were obtained and were of similar quality to those of polymer based electrocorticography arrays. The silicon carbide electrode arrays were also used as a cuff electrode wrapped around the sciatic nerve of a rat to record the nerve response to electrical stimulation. Finally, we demonstrated the outstanding long term stability of our insulating silicon carbide films through accelerated aging tests. SIGNIFICANCE: Clinical translation in neural engineering has been slowed in part due to the poor long term performance of current probes. Silicon carbide devices are a promising technology that may accelerate this transition by enabling truly chronic applications.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Fabrication Method,Polycrystalline SiC","Animals;Carbon Compounds, Inorganic/*chemistry;Electric Stimulation/methods;Electrocorticography/instrumentation/*methods;Electrodes, Implanted;Male;Peripheral Nerves/*physiology;Rats;Rats, Long-Evans;Sciatic Nerve/*physiology;Silicon Compounds/*chemistry;Visual Cortex/*physiology",28573982,amorphous,Neural_Engineering,False,True,False,False,True,False,False,True,True,False,True,True,True,False,False
62,rayyan-66582611,"Dobariya, A 2022",Recording of pig neuronal activity in the comparative context of the awake human brain.,"Dobariya, A. and El Ahmadieh, T.Y. and Good, L.B. and Hernandez-Reynoso, A.G. and Jakkamsetti, V. and Brown, R. and Dunbar, M. and Ding, K. and Luna, J. and Kallem, R.R. and Putnam, W.C. and Shelton, J.M. and Evers, B.M. and Azami, A. and Geramifard, N. and Cogan, S.F. and Mickey, B. and Pascual, J.M.",2022,9.0,15,10.1038/s41598-022-19688-2,,eng,Nature Scientific reports,"Gyriform mammals display neurophysiological and neural network activity that other species exhibit only in rudimentary or dissimilar form. However, neural recordings from large mammals such as the pig can be anatomically hindered and pharmacologically suppressed by anesthetics. This curtails comparative inferences. To mitigate these limitations, we set out to modify electrocorticography, intracerebral depth and intracortical recording methods to study the anesthetized pig. In the process, we found that common forms of infused anesthesia such as pentobarbital or midazolam can be neurophysiologic suppressants acting in dose-independent fashion relative to anesthetic dose or brain concentration. Further, we corroborated that standard laboratory conditions may impose electrical interference with specific neural signals. We thus aimed to safeguard neural network integrity and recording fidelity by developing surgical, anesthesia and noise reduction methods andÂ by working inside a newly designed Faraday cage, and evaluated thisÂ from the point of view of neurophysiological power spectral density and coherence analyses. We also utilized novel silicon carbide electrodes to minimize mechanical disruption of single-neuron activity. These methods allowed for the preservation of native neurophysiological activity for several hours. Pig electrocorticography recordings were essentially indistinguishable from awake human recordings except for the small segment of electrical activity associated with vision in conscious persons. In addition, single-neuron and paired-pulse stimulation recordings were feasible simultaneously with electrocorticography and depth electrode recordings. The spontaneous and stimulus-elicited neuronal activities thus surveyed can be recorded with a degree of precision similar to that achievable in rodent or any other animal studies and prove as informative as unperturbed human electrocorticography.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data",Anesthetics;Animals;Brain/physiology;Humans;Mammals;Neurons/physiology;Pentobarbital;Swine;Wakefulness,36109613,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
64,rayyan-66582971,"Duran-Martinez, A 2021",Inter-layer coatings for softening polymer-based neural interfaces,"Duran-Martinez, AC and Rocha-Flores, PE and Garcia-Sandoval, A and Badhe, YR and Krishnasamy, R and Joshi-Imre, A and Cogan, SF and Voit, WE",2021,11.0,16,10.1557/s43580-021-00159-1,,eng,MRS ADVANCES,"This paper reports the successful fabrication of softening polymer (SP)-based devices with inter-layer coatings for neural interface applications. SPs are flexible biocompatible polymers that soften upon implantation into the body, thus capable of reducing mechanical stress on the surrounding tissue and increasing the conformability of the implant. The softening process relies on water uptake into the polymer that can affect its electrical insulation capabilities. Employing an amorphous silicon carbide (a-SiC) thin film inter-layer between the metal traces and the SP is expected to provide a reliable water-barrier while allowing the SP plasticization once the device is implanted. We report the electrochemical properties and leakage current characteristics of various structures with a-SiC and polyimide inter-layer coatings under simulated physiological conditions. The fabricated structures demonstrated appropriate electrical properties and were found to be reliable up to a 2.5 mm radius of curvature when bending in compression.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Material Properties,Benchtop/Soak Testing",,,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
69,rayyan-66582623,"Faisal, S 2021",Non-invasive on-skin sensors for brain machine interfaces with epitaxial graphene.,"Faisal, SN and Amjadipour, M and Izzo, K and Singer, JA and Bendavid, A and Lin, CT and Iacopi, F",2021,12.0,23,10.1088/1741-2552/ac4085,,eng,Journal of neural engineering,"Objective. Brain-machine interfaces are key components for the development of hands-free, brain-controlled devices. Electroencephalogram (EEG) electrodes are particularly attractive for harvesting the neural signals in a non-invasive fashion.Approach.Here, we explore the use of epitaxial graphene (EG) grown on silicon carbide on silicon for detecting the EEG signals with high sensitivity.Main results and significance.This dry and non-invasive approach exhibits a markedly improved skin contact impedance when benchmarked to commercial dry electrodes, as well as superior robustness, allowing prolonged and repeated use also in a highly saline environment. In addition, we report the newly observed phenomenon of surface conditioning of the EG electrodes. The prolonged contact of the EG with the skin electrolytes functionalize the grain boundaries of the graphene, leading to the formation of a thin surface film of water through physisorption and consequently reducing its contact impedance more than three-fold. This effect is primed in highly saline environments, and could be also further tailored as pre-conditioning to enhance the performance and reliability of the EG sensors.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,General SiC,In Vivo Data,Benchtop/Soak Testing",*Brain-Computer Interfaces;Electrodes;Electroencephalography;*Graphite;Reproducibility of Results,34874291,3C-SiC,Neural_Engineering,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
70,rayyan-66583012,"Faisal, S 2022",Thin-Film Electrodes Based on Two-Dimensional Nanomaterials for Neural Interfaces,"Faisal, SN and Iacopi, F",2022,7.0,,10.1021/acsanm.2c03056,,eng,ACS APPLIED NANO MATERIALS,"Detection and monitoring of neural signals is a fast-advancing area of research expected to impact a broad range of advanced applications, from healthcare to brain-machine and even brain-to-brain communications. Two-dimensional (2D) layered materials, such as graphene, MXenes, and transition metal dichakogenides, could lead to the development of superior and ultrathin thin-film electrodes for neural interfaces thanks to their atomic thickness, high-conductivity properties, and potential to combine additional functionalities. This review focuses on the recent advancement of 2D materials-based thin-film sensors for monitoring of bio-physiological signals using invasive and non-invasive approaches.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Review,Neural Eng,General SiC | USER-NOTES: {""Rebecca""=>[""Confirm if review includes SiC discussion.""]}",,,other,Neural_Engineering,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
73,rayyan-66582606,"Fathi, F 2023",Nitrogen-Doped 4H Silicon Carbide Single-Crystal Electrode for Selective Electrochemical Sensing of Dopamine.,"Fathi, F and Sueoka, B and Zhao, F and Zeng, X",2023,3.0,21,10.1021/acs.analchem.2c03609,,eng,Analytical chemistry,"In this work, we designed, fabricated, and characterized the first nitrogen (N)-doped single-crystalline 4H silicon carbide (4H-SiC) electrode for sensing the neurotransmitter dopamine. This N-doped 4H-SiC electrode showed good selectivity for redox reactions of dopamine in comparison with uric acid (UA), ascorbic acid (AA), and common cationic ([Ru(NH(3))(6)](3+)), anionic ([Fe(CN)(6)](3-)), and organic (methylene blue) redox molecules. The mechanisms of this unique selectivity are rationalized by the unique negative Si valency and adsorption properties of the analytes on the N-doped 4H-SiC surface. Quantitative electrochemical detection of dopamine by the 4H-SiC electrode was achieved in the linear range from 50 nM to 10 Î¼M with a detection limit of 0.05 Î¼M and a sensitivity of 3.2 nA.Î¼M(-1) in a pH = 7.4 phosphate buffer solution. In addition, the N-doped 4H-SiC electrode demonstrated excellent electrochemical stability. This work forms the foundation for developing 4H-SiC as the next-generation robust and biocompatible neurointerface material for a broad range of applications such as the in vivo sensing of neurotransmitters.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Biosensor,Neural Eng,Polycrystalline SiC,Benchtop/Soak Testing",*Dopamine;*Nitrogen/chemistry;Electrochemical Techniques;Electrodes;Ascorbic Acid/chemistry,36893723,4H-SiC,Neural_Engineering,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
74,rayyan-66582963,"Feng, C 2021a",Silicon Carbide Biotechnology: Carbon-Based Neural Interfaces,"Feng, CY and Beygi, M and Frewin, CL and Tanjil, MRE and Kumar, A and Wang, MC and Saddow, SE",2021,2.0,,10.1007/978-3-030-65261-6_70,,eng,TMS 2021 150TH ANNUAL MEETING & EXHIBITION SUPPLEMENTAL PROCEEDINGS,"Implantable neural interfaces (INI) have gained significant interest since the 1970s. However, the materials currently utilized for neural interfaces suffer from limitations such as degradation, induce a foreign body response, and experience a loss of target neurons in close proximity. Therefore, the development of new implantable device materials for biomedical applications continues to be an important direction of research and development. Carbon-based nanomaterials are promising candidates and also interesting since carbon has many allotropes with different structures and properties, many of which have also been developed for biomedical devices. Moreover, many carbon allotropes have excellent electrical conductivity and mechanical properties. In this framework, the biocompatibility of graphene, carbon nanotubes, and pyrolyzed-photoresist films, which are three very promising carbon-based nanomaterials (CBN), will be discussed. The neural probe fabricated solely using amorphous silicon carbide as support and pyrolyzed photoresist film (PPF) will be presented as this system represents a highly robust, thin, and flexible neural interface using well-known neurocompatible materials.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method"," SiC · Carbon-based nanomaterials · Implantable neural interface ·
 Pyrolyzed-photoresist film",,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
75,rayyan-66582630,"Feng, C 2021b",A Flexible a-SiC-Based Neural Interface Utilizing Pyrolyzed-Photoresist Film (C) Active Sites.,"Feng, C. and Frewin, C.L. and Tanjil, M.R. and Everly, R. and Bieber, J. and Kumar, A. and Wang, M.C. and Saddow, S.E.",2021,7.0,13,10.3390/mi12070821,,eng,Micromachines,"Carbon containing materials, such as graphene, carbon-nanotubes (CNT), and graphene oxide, have gained prominence as possible electrodes in implantable neural interfaces due to their excellent conductive properties. While carbon is a promising electrochemical interface, many fabrication processes are difficult to perform, leading to issues with large scale device production and overall repeatability. Here we demonstrate that carbon electrodes and traces constructed from pyrolyzed-photoresist-film (PPF) when combined with amorphous silicon carbide (a-SiC) insulation could be fabricated with repeatable processes which use tools easily available in most semiconductor facilities. Directly forming PPF on a-SiC simplified the fabrication process which eliminates noble metal evaporation/sputtering and lift-off processes on small features. PPF electrodes in oxygenated phosphate buffered solution at pH 7.4 demonstrated excellent electrochemical charge storage capacity (CSC) of 14.16 C/cm(2), an impedance of 24.8 Â± 0.4 kÎ©, and phase angle of -35.9 Â± 0.6Â° at 1 kHz with a 1.9 kÂµm(2) recording site area.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Benchtop/Soak Testing",Pyrolyzed-photoresist-film; implantable neural interface; silicon carbide biotechnology; microfabrication; microelectrode array,34357231,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,False,False,True,True,True,False,False
79,rayyan-66582764,"Frewin, C 2009",Atomic force microscopy analysis of central nervous system cell morphology on silicon carbide and diamond substrates.,"Frewin, CL and Jaroszeski, M and Weeber, E and Muffly, KE and Kumar, A and Peters, M and Oliveros, A and Saddow, SE",2009,9.0,,10.1002/jmr.966,,eng,Journal of molecular recognition : JMR,"Brain machine interface (BMI) devices offer a platform that can be used to assist people with extreme disabilities, such as amyotrophic lateral sclerosis (ALS) and Parkinson's disease. Silicon (Si) has been the material of choice used for the manufacture of BMI devices due to its mechanical strength, its electrical properties and multiple fabrication techniques; however, chronically implanted BMI devices have usually failed within months of implantation due to biocompatibility issues and the fact that Si does not withstand the harsh environment of the body. Single crystal cubic silicon carbide (3C-SiC) and nanocrystalline diamond (NCD) are semiconductor materials that have previously shown good biocompatibility with skin and bone cells. Like Si, these materials have excellent physical characteristics, good electrical properties, but unlike Si, they are chemically inert. We have performed a study to evaluate the general biocompatibility levels of all of these materials through the use of in vitro techniques. H4 human neuroglioma and PC12 rat pheochromocytoma cell lines were used for the study, and polystyrene (PSt) and amorphous glass were used as controls or for morphological comparison. MTT [3-(4,5-Dimethylthiazol-2-Yl)-2,5-Diphenyltetrazolium Bromide] assays were performed to determine general cell viability with each substrate and atomic force microscopy (AFM) was used to quantify the general cell morphology on the substrate surface along with the substrate permissiveness to lamellipodia extension. 3C-SiC was the only substrate tested to have good viability and superior lamellipodia permissiveness with both cell lines, while NCD showed a good level of viability with the neural H4 line but a poor viability with the PC12 line and lower permissiveness than 3C-SiC. Explanations pertaining to the performance of each substrate with both cell lines are presented and discussed along with future work that must be performed to further evaluate specific cell reactions on these substrates.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,Material Properties,Polycrystalline SiC,Biocompatibility, Cell Culture","Animals;Carbon Compounds, Inorganic/adverse effects/*pharmacology;Cell Line, Tumor;Cell Survival/*drug effects;Central Nervous System/*drug effects/*pathology;Diamond/adverse effects/*pharmacology;Humans;Microscopy, Atomic Force;Neurons/*drug effects/pathology;PC12 Cells;Rats;Silicon Compounds/adverse effects/*pharmacology",19585542,3C-SiC ,Neural_Engineering,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False
